Company	Company Domain	Final Domain	City	Manufacturing_Propensity
Eks Engel CS GmbH & Co. KG	eks-cs.de	eks-engel.de	Wenden	High
Pebble Entertainment	pebble-entertainment.de	pebblegear.com	Dortmund	Medium
Beghelli Präzisa	praezisa.de	beghelli.it	Dinslaken	Medium
Ifm	ifm.com		Essen	Medium
Motovin Inc.	motovin.de	forsaledomain.net	Hattingen	High
Intewa	intewa.com		Aachen	Medium
HD Elektrotechnik	hd-elektrotechnik.com		Gronau	Medium
Baumüller	fischhof.de		Wickede Ruhr	Medium
Latte Art Factory	latteartfactory.com		Hövelhof	High
KoRo	korodrogerie.de		Wetter Ruhr	Medium
GRAU	grau-generationpet.de		Isselburg	High
Engel Food Solutions	engel-fs.de	engel-fs.com	Goch	High
PanoBake	panobake.de		Herne	High
Metta	metta-germany.com		Dusseldorf	High
Nolte	nolte-edelstahl.de		Hattingen	High
Audio Selection Creaktiv	creaktiv-hifi.com		Bad Honnef	High
Kottig Industries KG	kottig-kg.com		Gronau	High
Tischlerei Planb	tischlerei-planb.de		Wuppertal	High
Rudolf Henrichsmeyer Formaplan GmbH & Co. KG	formaplan.de		Hövelhof	Medium
Pelipal	pelipal.de		Schlangen	High
Düsseldorfer Bettenhaus	duesseldorfer-bettenhaus.com		Dusseldorf	High
Caussa	caussa.de		Münster	High
Möbel Turflon Werl	turflon.de	moebel-turflon.de	Werl	High
C. Disselkamp Schlafraumsysteme	disselkamp.de		Herzebrock	High
Musterring	musterring.com		Rheda-Wiedenbrück	High
Germania Werk Krome GmbH & Co. KG	mygermania.com		Schlangen	High
Lieck & Müller GmbH & Co.	lieck-mueller.de		Aachen	High
Schwan Glas GmbH & Co. KG	schwanglas.com		Dusseldorf	High
Mediahaus	mediahaus.de		Ahaus	High
Aquaro-Die WimpernProfis	wimpernprofis.de		Dusseldorf	High
Titania Fabrik	titania-fabrik.de	titania-beauty.de	Wülfrath	Medium
Border Concepts	bo-co.eu		Gronau	High
Wagner Pet Product Group	happy-bird.de		Geilenkirchen	Medium
Vogel Germany GmbH & Co. KG	vogel-germany.de		Kevelaer	Medium
HDM	hdm.info	hdm-24.com	Moers	Medium
Hanfwolf GmbH & Co. KG	hanfwolf.de		Bielefeld	Medium
Assem Audi Handelsgesellschaft MbH	assem-audi.com		Meckenheim	High
Demig Anlagentechnik	demig.de	demig.com	Siegen	Medium
IWM Automation	iwm-automation.de		Porta Westfalica	High
Koehler Metallbau	koehler-metallbau.de	rsab.de	Henglarn	Medium
MSK Covertech Group	mskcovertech.com		Cleves	Medium
Deutscher Schraubenverband	schraubenverband.de		Hagen	High
Erzet Handelsgesellschaft MbH	erzet.de		Essen	Medium
Delbrouck	delbrouck.de		Menden Sauerland	Medium
Imperial Shipping Services	shipimperial.com		Duisburg	High
Euroroll	euroroll.de		Werne	Medium
Ohra Regalanlagen	ohra.de		Kerpen	Medium
Designhütte	designhuette.com		Halver	High
Hüttenhölscher Maschinenbau GmbH & Co. KG	huettenhoelscher.de	huettenhoelscher.com	Verl	High
Hydraulik Union	hydraulik-union.de	forsaledomain.net	Dusseldorf	High
Friess	friess.eu	friess-online.de	Monheim Am Rhein	High
Heinrich Wagner Sinto Maschinenfabrik	wagner-sinto.de		Bad Laasphe	High
Riepl Elektrotechnik	riepl-elektrotechnik.de		Ostbevern	Medium
Ibag Deutschland	ibag.de	ibag.ch	Lindlar	High
Freund Maschinenfabrik GmbH & Co. KG	freund-germany.com	freund.eu	Paderborn	High
Ratio-CUT Fertigungstechnik	ratio-cut.de		Lemgo	High
Rofin-Baasel Lasertech	rofin.de	coherent.com	Ratingen	High
CannaCare Health	cannacare-health.de		Dusseldorf	High
Westfalia Fertigungstechnik	westfalia-fertigungstechnik.de	forsaledomain.net	Detmold	High
Deckel Maho Pfronten	gildemeister.com	dmgmori.com	Bielefeld	High
Gotzeina Drehtechnik	gotzeina.de		Herscheid	High
Rhein/Ruhr Armaturenservice	rheinruhras.de	rheinruhras.com	Rheinberg	High
Exakt Maschinenbau	wuh-lengerich.de	wh.group	Lengerich	High
Christian Pfeiffer Maschinenfabrik	christianpfeiffer.com		Beckum	High
Tenbrink Ladeneinrichtungen	tenbrink-ladeneinrichtungen.de	tenbrink.de	Stadtlohn	Medium
AHI Antriebselemente KG	kb-chains.de	kahi-ketten.de	Bad Oeynhausen	Medium
Schwing Group	schwing-stetter.com		Herne	High
Effertz Tore	effertz.de		Mönchengladbach	High
Hellbeck Fertigungstechnik	hellbeck-fertigungstechnik.de	hellbeck.info	Borchen	High
Kaltformteilen	schrauben-betzer.de	betzer.de	Lüdenscheid	High
The 4jet Group	4jet.de		Alsdorf	High
HMF Hermeler Maschinenbau	hmf-hermeler.de		Füchtorf	High
ESK Elektroinstallation	e-s-k-gmbh.de	esk-gmbh.de	Bad Laasphe	Medium
Khscorpoplast	khscorpoplast.de	forsaledomain.net	Dortmund	High
Dijet Europe	dijet.de		Dusseldorf	High
Neubauer Automation OHG	neubauer-automation.de	neubauer-automation.com	Welver	High
Dreve	dreve.com	dreve.de	Unna	High
Aluguss Beulker	aluguss-beulker.de	forsaledomain.net	Gescher	High
OASE	oase.com		Hörstel	Medium
Walterscheid Powertrain Group	walterscheid.com		Lohmar	Medium
Project Service & Produktion	we-love-automation.com	project-sp.de	Kranenburg	High
Interroll Trommelmotoren	interroll.de	interroll.com	Hückelhoven	High
Streametal	streametal.de	forsaledomain.net	Duren	High
Edessoe	edessoe.de		Remscheid	High
Windhoff Bahn	windhoff.com	windhoff.de	Rheine	High
RWE Gasspeicher	rwegasspeicher.com	rwe-gasstorage-west.com	Dortmund	High
Maschinentechnik	esde-maschinentechnik.de	esde-extrusion.de	Bad Oeynhausen	High
Eska Elektrotechnik	eska-elektrotechnik.de		Neunkirchen-Seelscheid	Medium
Kisa	kisa-gmbh.de		Kamp-Lintfort	High
Trepels Genter	trepels-genter.de		Aachen	High
Gleitlagertechnik Weißbacher	gtwalpen.de		Huck	High
KUK Automation	kuk-automation.de		Beckum	High
